,train,val,test
0,BONE_11_M72_2_1,BONE_2_F71_1_1,BONE_1_F51_1_1
1,BONE_11_M72_2_2,BONE_2_F71_1_2,BONE_1_F51_1_2
2,BONE_11_M72_2_3,BONE_2_F71_1_3,BONE_1_F51_2_1
3,BONE_11_M72_3_1,BONE_2_F71_1_4,BONE_1_F51_2_2
4,BONE_11_M72_3_2,BONE_2_F71_1_5,BONE_1_F51_2_3
5,BONE_11_M72_3_3,BONE_2_F71_1_6,BONE_1_F51_2_4
6,BONE_11_M72_4_1,BONE_2_F71_1_7,BONE_6_M63_1_1
7,BONE_11_M72_4_2,BONE_2_F71_2_1,BONE_6_M63_1_2
8,BONE_11_M72_4_3,BONE_2_F71_2_2,BONE_6_M63_1_3
9,BONE_11_M72_5_1,BONE_2_F71_2_3,BONE_6_M63_2_1
10,BONE_11_M72_5_2,BONE_2_F71_2_4,BONE_6_M63_2_2
11,BONE_11_M72_5_3,BONE_2_F71_2_5,BONE_6_M63_2_3
12,BONE_11_M72_5_4,BONE_2_F71_2_6,BONE_6_M63_3_1
13,BONE_11_M72_6_1,BONE_2_F71_2_7,BONE_6_M63_3_2
14,BONE_11_M72_6_2,BONE_2_F71_3_1,BONE_6_M63_3_3
15,BONE_11_M72_6_3,BONE_2_F71_3_2,BONE_6_M63_4_1
16,BONE_11_M72_6_4,BONE_2_F71_3_3,BONE_6_M63_4_2
17,BONE_11_M72_6_5,BONE_2_F71_3_4,BONE_6_M63_4_3
18,BONE_11_M72_7_1,BONE_2_F71_3_5,BONE_6_M63_5_1
19,BONE_11_M72_7_2,BONE_2_F71_3_6,BONE_6_M63_5_2
20,BONE_11_M72_7_3,BONE_5_M59_1_1,BONE_6_M63_6_1
21,BONE_11_M72_8_1,BONE_5_M59_1_2,BONE_6_M63_6_2
22,BONE_11_M72_8_2,BONE_5_M59_1_3,BONE_6_M63_6_3
23,BONE_11_M72_8_3,BONE_5_M59_1_4,BONE_6_M63_7_1
24,BONE_12_F69_1_1,BONE_5_M59_2_1,BONE_6_M63_7_2
25,BONE_12_F69_1_2,BONE_5_M59_2_2,BONE_6_M63_7_3
26,BONE_12_F69_1_3,BONE_5_M59_2_3,BONE_6_M63_8_1
27,BONE_12_F69_2_1,BONE_5_M59_2_4,BONE_6_M63_8_2
28,BONE_12_F69_2_2,BONE_5_M59_2_5,BONE_6_M63_8_3
29,BONE_12_F69_2_3,BONE_5_M59_3_1,BONE_8_F68_1_1
30,BONE_12_F69_3_1,BONE_5_M59_3_2,BONE_8_F68_1_2
31,BONE_12_F69_3_2,BONE_5_M59_3_3,BONE_8_F68_1_3
32,BONE_12_F69_3_3,BONE_5_M59_3_4,BONE_8_F68_2_1
33,BONE_12_F69_4_1,BONE_5_M59_3_5,BONE_8_F68_2_2
34,BONE_12_F69_4_2,BONE_5_M59_3_6,BONE_8_F68_2_3
35,BONE_12_F69_4_3,BONE_5_M59_4_1,BONE_8_F68_3_1
36,BONE_12_F69_5_1,BONE_5_M59_4_2,BONE_8_F68_3_2
37,BONE_12_F69_5_2,BONE_5_M59_4_3,BONE_8_F68_3_3
38,BONE_12_F69_5_3,BONE_5_M59_5_1,BONE_8_F68_4_1
39,BONE_12_F69_6_1,BONE_5_M59_5_2,BONE_8_F68_4_2
40,BONE_12_F69_6_2,BONE_5_M59_5_3,BONE_8_F68_4_3
41,BONE_12_F69_6_3,BONE_5_M59_6_1,BONE_8_F68_5_1
42,BONE_12_F69_7_1,BONE_5_M59_6_2,BONE_8_F68_5_2
43,BONE_12_F69_7_2,BONE_5_M59_6_3,BONE_8_F68_5_3
44,BONE_12_F69_7_3,BONE_5_M59_6_4,BONE_8_F68_6_1
45,BONE_12_F69_8_1,BONE_5_M59_6_5,BONE_8_F68_6_2
46,BONE_12_F69_8_2,BONE_5_M59_6_6,BONE_8_F68_6_3
47,BONE_12_F69_8_3,,BONE_8_F68_7_1
48,BONE_13_M47_1_1,,BONE_8_F68_7_2
49,BONE_13_M47_1_2,,BONE_8_F68_7_3
50,BONE_13_M47_1_3,,BONE_8_F68_8_1
51,BONE_13_M47_2_1,,BONE_8_F68_8_2
52,BONE_13_M47_2_2,,BONE_8_F68_8_3
53,BONE_13_M47_2_3,,
54,BONE_13_M47_3_1,,
55,BONE_13_M47_3_2,,
56,BONE_13_M47_3_3,,
57,BONE_13_M47_4_1,,
58,BONE_13_M47_4_2,,
59,BONE_13_M47_4_3,,
60,BONE_13_M47_5_1,,
61,BONE_13_M47_5_2,,
62,BONE_13_M47_5_3,,
63,BONE_13_M47_6_1,,
64,BONE_13_M47_6_2,,
65,BONE_13_M47_6_3,,
66,BONE_13_M47_7_1,,
67,BONE_13_M47_7_2,,
68,BONE_13_M47_7_3,,
69,BONE_13_M47_8_1,,
70,BONE_13_M47_8_2,,
71,BONE_13_M47_8_3,,
72,BONE_15_M71_1_1,,
73,BONE_15_M71_1_2,,
74,BONE_15_M71_1_3,,
75,BONE_15_M71_2_1,,
